Root Chord,Taper,Sweep,Twist,Wingspan,CL,CD,L_D
17.22222222222222,0.7999999999999999,20.0,0.0,130.0,0.87427223927,0.046255954626,18.90075010534061
17.22222222222222,0.7999999999999999,20.0,0.0,150.0,0.900249651223,0.044243957146,20.347403561853184
17.22222222222222,0.7999999999999999,30.0,0.0,50.0,0.616365063893,0.051018351444,12.081242267687728
17.22222222222222,0.7999999999999999,30.0,0.0,70.0,0.701208396291,0.049644649445,14.124551268467517
17.22222222222222,0.7999999999999999,30.0,0.0,90.0,0.756545157539,0.04726372065,16.00688957903698
17.22222222222222,0.7999999999999999,30.0,0.0,110.0,0.794635501005,0.044731932953,17.76438996812247
17.22222222222222,0.7999999999999999,30.0,0.0,130.0,0.809751203191,0.039544296396,20.477066909525497
17.22222222222222,0.7999999999999999,30.0,0.0,150.0,0.833993969851,0.038102867863,21.88795795764377
17.22222222222222,0.9,0.0,0.0,50.0,0.624109729642,0.056204034453,11.104358178484585
17.22222222222222,0.9,0.0,0.0,70.0,0.725551827748,0.054203778745,13.38563186085856
17.22222222222222,0.9,0.0,0.0,90.0,0.798371190016,0.052808430813,15.118252478342203
17.22222222222222,0.9,0.0,0.0,110.0,0.852802356851,0.051335284005,16.612401652787934
17.22222222222222,0.9,0.0,0.0,130.0,0.891169685192,0.049202436233,18.112308117667837
17.22222222222222,0.9,0.0,0.0,150.0,0.921050193717,0.047182062161,19.521194104956408
17.22222222222222,0.9,10.0,0.0,50.0,0.622013682067,0.055647376793,11.177771854022856
17.22222222222222,0.9,10.0,0.0,70.0,0.721797326373,0.054016195836,13.362609402640421
17.22222222222222,0.9,10.0,0.0,90.0,0.793256832673,0.052414331538,15.134349888596685
17.22222222222222,0.9,10.0,0.0,110.0,0.845648678315,0.050806569638,16.64447500274669
17.22222222222222,0.9,10.0,0.0,130.0,0.884111994259,0.048918943404,18.072998571484028
17.22222222222222,0.9,10.0,0.0,150.0,0.913288679537,0.046908999973,19.46937005825477
17.22222222222222,0.9,20.0,0.0,50.0,0.612652664221,0.053415103024,11.469652392989456
17.22222222222222,0.9,20.0,0.0,70.0,0.706085927526,0.051952417383,13.591011989310188
17.22222222222222,0.9,20.0,0.0,90.0,0.77262012891,0.05049579308,15.30068312197702
17.22222222222222,0.9,20.0,0.0,110.0,0.820993954461,0.048805245131,16.82183855971503
17.22222222222222,0.9,20.0,0.0,130.0,0.855956598843,0.046789786346,18.293663333134127
17.22222222222222,0.9,20.0,0.0,150.0,0.883271764468,0.044905799956,19.669436138170465
17.22222222222222,0.9,30.0,0.0,50.0,0.59313976681,0.049778066644,11.915685095847211
17.22222222222222,0.9,30.0,0.0,70.0,0.675981214033,0.048427817994,13.958531315962889
17.22222222222222,0.9,30.0,0.0,90.0,0.73451308222,0.0469200564,15.654565202526056
17.22222222222222,0.9,30.0,0.0,110.0,0.775130253399,0.044870101784,17.274983175442667
17.22222222222222,0.9,30.0,0.0,130.0,0.805078974125,0.042944719566,18.74686765360539
17.22222222222222,0.9,30.0,0.0,150.0,0.8297095398,0.041471779408,20.006605736332283
17.22222222222222,1.0,0.0,0.0,50.0,0.604814852965,0.055537884482,10.890131278965486
17.22222222222222,1.0,0.0,0.0,70.0,0.707456019347,0.054244432519,13.04200240456386
17.22222222222222,1.0,0.0,0.0,90.0,0.777737697735,0.052307619716,14.868535443930808
17.22222222222222,1.0,0.0,0.0,110.0,0.833938747314,0.051302766435,16.255239342123794
17.22222222222222,1.0,0.0,0.0,130.0,0.875337691004,0.049702790577,17.611439535732288
17.22222222222222,1.0,0.0,0.0,150.0,0.906195945321,0.0476932081,19.00052400377319
17.22222222222222,1.0,10.0,0.0,50.0,0.601244247473,0.054257838119,11.08124223737651
17.22222222222222,1.0,10.0,0.0,70.0,0.701815603286,0.053561068998,13.103091786913481
17.22222222222222,1.0,10.0,0.0,90.0,0.77054030153,0.051667856344,14.913339860663292
17.22222222222222,1.0,10.0,0.0,110.0,0.825598850349,0.05071360289,16.27963314181719
17.22222222222222,1.0,10.0,0.0,130.0,0.866621626002,0.049331772209,17.567210485170754
17.22222222222222,1.0,10.0,0.0,150.0,0.896870121031,0.047409727364,18.9174283611685
17.22222222222222,1.0,20.0,0.0,50.0,0.590859658769,0.052069015683,11.347624897812494
17.22222222222222,1.0,20.0,0.0,70.0,0.684277838628,0.051268398842,13.346971118345659
17.22222222222222,1.0,20.0,0.0,90.0,0.748881899003,0.049647769067,15.083898291429346
17.22222222222222,1.0,20.0,0.0,110.0,0.799335324622,0.048417842571,16.509106605686807
17.22222222222222,1.0,20.0,0.0,130.0,0.838323315672,0.047293378586,17.726018752235312
17.22222222222222,1.0,20.0,0.0,150.0,0.866330542303,0.045442687458,19.06424533328268
17.22222222222222,1.0,30.0,0.0,50.0,0.571379930676,0.048636938634,11.747859686969951
17.22222222222222,1.0,30.0,0.0,70.0,0.654178562304,0.047755651061,13.69845343472324
17.22222222222222,1.0,30.0,0.0,90.0,0.713824314273,0.046628855702,15.308638900233246
17.22222222222222,1.0,30.0,0.0,110.0,0.755319392771,0.0447982409,16.860469911241537
17.22222222222222,1.0,30.0,0.0,130.0,0.788775134089,0.043577743174,18.10041265651432
17.22222222222222,1.0,30.0,0.0,150.0,0.813301946204,0.04190161261,19.409800614926738
18.333333333333332,0.7,0.0,0.0,50.0,0.643263795095,0.0560208642,11.482575363323296
18.333333333333332,0.7,0.0,0.0,70.0,0.747483498797,0.054988058558,13.59356046383368
18.333333333333332,0.7,0.0,0.0,90.0,0.820111721973,0.053221536295,15.409395877398731
18.333333333333332,0.7,0.0,0.0,110.0,0.870812574217,0.050898092713,17.10894314109699
18.333333333333332,0.7,0.0,0.0,130.0,0.898023033098,0.046051463752,19.500423220727686
18.333333333333332,0.7,0.0,0.0,150.0,0.928943304469,0.044285399144,20.976288402604535
18.333333333333332,0.7,10.0,0.0,50.0,0.645615888675,0.057364170793,11.25468876739665
18.333333333333332,0.7,10.0,0.0,70.0,0.748864350684,0.055514463253,13.489536002017122
18.333333333333332,0.7,10.0,0.0,90.0,0.819864712549,0.053448333002,15.339387900429395
18.333333333333332,0.7,10.0,0.0,110.0,0.869186176418,0.050924749568,17.068050089424055
18.333333333333332,0.7,10.0,0.0,130.0,0.906241288031,0.048607737406,18.64397185290785
18.333333333333332,0.7,10.0,0.0,150.0,0.924289503212,0.044042514599,20.986301795606064
